State,P1987,P1989,P1991,P1993,P1995,P1997,P1999,P2001,P2003,P2005,P2007,P2009,P2011,P2013,F1987,F1989,F1991,F1993,F1995,F1997,F1999,F2001,F2003,F2005,F2007,F2011,F2013
Arunachal Pradesh,"6,32,502","6,32,502","8,65,900","8,65,900","8,65,900","8,65,900","10,98,328","13,82,611","13,82,611","13,82,611","13,82,611","13,82,611","13,82,611","13,82,611","64,132","69,002","68,757","68,661","68,621","68,602","68,847","68,045","68,019","67,777","67,353","67,410","67,321"
Mizoram,"4,94,440","4,94,440","6,90,963","6,90,963","6,90,963","6,90,963","8,89,690","10,91,014","10,91,014","10,91,014","10,91,014","10,91,014","10,91,014","10,91,014","19,084","18,170","18,853","18,697","18,576","18,775","18,338","17,494","18,430","18,684","19,240","19,117","19,054"
Sikkim,"3,16,840","3,16,840","4,06,000","4,06,000","4,06,000","4,06,000","5,41,902","6,07,688","6,07,688","6,07,688","6,07,688","6,07,688","6,07,688","6,07,688","2,756","3,041","3,041","3,119","3,127","3,129","3,118","3,193","3,262","3,262","3,357","3,359","3,358"
Delhi,"62,20,973","62,20,973","94,21,311","94,21,311","94,21,311","94,21,311","1,38,51,503","1,67,53,235","1,67,53,235","1,67,53,235","1,67,53,235","1,67,53,235","1,67,53,235","1,67,53,235",15,22,22,22,26,26,88,111,170,176,177,176,179.81
Puducherry,"6,04,281","6,04,281","8,08,117","8,08,117","8,08,117","8,08,117","9,74,820","12,44,464","12,44,464","12,44,464","12,44,464","12,44,464","12,44,464","12,44,464",0,0,0,0,0,0,0,36,40,42,44,50,50.06
Chandigarh,"4,52,960","4,52,960","6,42,374","6,42,374","6,42,374","6,42,374","9,01,080","10,54,686","10,54,686","10,54,686","10,54,686","10,54,686","10,54,686","10,54,686",2,5,5,5,7,7,7,9,15,15,17,17,17.26
Andaman and Nicobar Islands,"1,89,496","1,89,496","2,81,990","2,81,990","2,81,990","2,81,990","3,56,650","3,79,944","3,79,944","3,79,944","3,79,944","3,79,944","3,79,944","3,79,944","7,601","7,622","7,622","7,624","7,615","7,613","7,606","6,930","6,964","6,629","6,662","6,724","6,711"
Dadra and Nagar Haveli,"1,04,300","1,04,300","1,38,290","1,38,290","1,38,290","1,38,290","2,20,963","3,42,853","3,42,853","3,42,853","3,42,853","3,42,853","3,42,853","3,42,853",238,206,206,206,204,204,202,219,225,221,211,211,213
Daman and Diu,"79,842","79,842","1,02,110","1,02,110","1,02,110","1,02,110","1,58,080","2,42,911","2,42,911","2,42,911","2,42,911","2,42,911","2,42,911","2,42,911",0,0,0,0,0,0,0,6,8,8,6,6,9.27
Lakshadweep,"40,250","40,250","52,820","52,820","52,820","52,820","61,300","64,429","64,429","64,429","64,429","64,429","64,429","64,429",0,0,0,0,0,0,0,27,23,25,26,27,27.06
